ensembl_gene_id	external_gene_name	entrezgene_id
YDR379W	RGA2	851985
YDL029W	ARP2	851532
YDR205W	MSC2	851786
YJL031C	BET4	853421
YLR016C	PML1	850703
YOL116W	MSN1	854033
YGR019W	UGA1	852902
YKL096C-B		1500486
YMR137C	PSO2	855168
YLR034C	SMF3	850721
YOL041C	NOP12	854116
YDL198C	GGC1	851329
YHR118C	ORC6	856518
YJL097W	PHS1	853348
YDL120W	YFH1	851437
YLR292C	SEC72	850999
YPR170W-B		5848745
YKR091W	SRL3	853966
YPR016C	TIF6	856126
YAL012W	CYS3	851221
YJL148W	RPA34	853293
YER039C-A		856762
YDR421W	ARO80	852031
YGL051W	MST27	852830
YER058W	PET117	856786
YNL243W	SLA2	855478
YGL220W		852652
YDL186W		851340
YER110C	KAP123	856846
YLL027W	ISA1	850632
YOL060C	MAM3	854094
YCL051W	LRE1	850306
YBL049W	MOH1	852231
YOL102C	TPT1	854051
YGR065C	VHT1	852956
YMR292W	GOT1	855337
YBL021C	HAP3	852260
YPR026W	ATH1	856137
YLR421C	RPN13	851140
YPR154W	PIN3	856277
YAL058W	CNE1	851241
YDR119W-A	COX26	3799970
YJR055W	HIT1	853516
YMR273C	ZDS1	855316
YHL008C		856381
YNL212W	VID27	855509
YDR429C	TIF35	852039
YCL027W	FUS1	850330
YCR030C	SYP1	850396
YGR048W	UFD1	852939
YPL249C	GYP5	855827
YLR165C	PUS5	850862
YDR263C	DIN7	851856
YBR187W	GDT1	852485
YOR244W	ESA1	854418
YBR201C-A		3799967
YBR074W		852366
YDL195W	SEC31	851332
YDR007W	TRP1	851570
YOL014W		854146
YLR059C	REX2	850748
YML130C	ERO1	854909
YBR223C	TDP1	852525
YER019W	ISC1	856739
YIR016W		854833
YIL069C	RPS24B	856805
YIL069C	RPS24B	854741
YLR440C	SEC39	851161
YIL102C		854704
YER042W	MXR1	856765
YBL069W	AST1	852209
YML116W	ATR1	854924
YHR058C	MED6	856455
YMR265C		855307
YDL169C	UGX2	851385
YPL109C		855995
YPL204W	HRR25	855897
YOR047C	STD1	854212
YLR222C	UTP13	850919
YPR183W	DPM1	856313
YER077C	MRX1	856810
YDR348C	PAL1	851949
YGR295C	COS6	853212
YER039C	HVG1	856761
YPL230W	USV1	855871
YFL007W	BLM10	850541
YLR371W	ROM2	851086
YMR061W	RNA14	855083
YPL159C	PET20	855944
YMR288W	HSH155	855332
YMR166C	MME1	855202
YHR142W	CHS7	856545
